NFT No,File Path,Name,Size (KB),CRC Value,Image Hash,Variation 1 Name,Variation 1 Hash,Variation 1 Percentage,Variation 2 Name,Variation 2 Hash,Variation 2 Percentage,Variation 3 Name,Variation 3 Hash,Variation 3 Percentage,Variation 4 Name,Variation 4 Hash,Variation 4 Percentage,Rarity,Listing Price (ETH or WETH)
1,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #1,267753,8DA274,00009c80c3ffffff,gradient,0303070f0f1f3f3f,0.3125,sphere,003c7e7e3c3c0000,0.34375,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.05,0.218
2,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #2,237773,9F3769A8,ff9cbf3f010183e7,gradient,0303070f0f1f3f3f,0.3125,sphere,003e3e7f3f3e0400,0.15625,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.02,0.48
3,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #3,297050,69557452,180c1cebcfcedebc,gradient,3879f3e3c7cf9e3c,0.28125,sphere,003c7e7e3c3c0000,0.34375,mouth,003e7e7e7e3c1c00,0.21875,eyes,c3662442e7e76600,0.59375,0.01,0.796
4,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #4,294389,20B06234,08101cffc3cedebc,gradient,3879f3e3c7cf9e3c,0.28125,sphere,003c7e7e3c3c0000,0.34375,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.04,0.242
5,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #5,224858,34B7BB31,1e4c7f3f0c000000,gradient,000000ffffffffff,0.15625,sphere,003c7e7e3c3c0000,0.34375,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,0000e7e7e7660000,0.34375,0.01,0.754
6,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #6,246014,D4BC6A21,00008cc0c3ffffff,gradient,0303070f0f1f3f3f,0.3125,sphere,00001c3e7e3c0000,0.21875,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,0000e7e7e7660000,0.34375,0.02,0.592
7,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #7,260837,2BD47E9B,1c3c7f3f0c000000,gradient,000000ffffffffff,0.15625,sphere,00001c3e7e3c0000,0.21875,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.01,0.686
8,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #8,244348,CC979CCD,ff8cffff81818181,gradient,ffffffff81818181,0.125,sphere,003c7e7e3c3c0000,0.34375,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,0000e7e7e7660000,0.34375,0.01,0.942
9,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #9,354697,5F1E92DE,00109c8081d9c3ff,gradient,0303070f0f1f3f3f,0.3125,sphere,00183c7e7e3c1800,0.15625,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.02,0.48
10,C:\Users\twintersx\Documents\layer_bot\NFTs,Tin Woodman #10,274879,28C39C8E,00009cc0c1ffffff,gradient,0303070f0f1f3f3f,0.3125,sphere,00001c3e7e3c0000,0.21875,mouth,3c7a7e7e7e7e3c00,0.71875,eyes,c3662442e7e76600,0.59375,0.03,0.343
