NFT No,File Path,Name,Size (KB),CRC Value,NFT ID,Containment Field,Containment Field ID,Containment Field %,Heart Humidor,Heart Humidor ID,Heart Humidor %,Brain Bucket,Brain Bucket ID,Brain Bucket %,Exhaust Spout,Exhaust Spout ID,Exhaust Spout %,Aroma Nozzle,Aroma Nozzle ID,Aroma Nozzle %,Rarity Score,Listing Price,Rarity Type,Rarity Counts,Description,Listed on OpenSea?,Contract Address,token_id
1660,C:\Users\twintersx\Documents\layer.bot\finals\#1660.PNG,#1660,1493120,57EA32DA,b09a4fc93b626666,Glow,95957ade6a4a2968,0.0239,Tee,bfc02f30c32db24d,0.0077,Tongue,e4969b69262663cd,0.0044,Painted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,19482953.75947332,0.005,OEM,1515,"**#1660 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444955397743968257
1213,C:\Users\twintersx\Documents\layer.bot\finals\#1213.PNG,#1213,1137759,2762118,b1c31ed36dc66c30,Glow,95957a5e6a5a2a68,0.0108,Shirt,b7c03dc24db22fd0,0.0233,Big Grin,e5869a69653c66c3,0.0059,Gold,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,35796.410663458635,0.005,OEM,1515,"**#1213 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444957596767223809
286,C:\Users\twintersx\Documents\layer.bot\finals\#286.PNG,#286,1582956,6774CAC2,943c4bcbc93c3c66,Glow,95956a5e6a7a292a,0.0136,Tee,bfc02f34c22df20b,0.0234,Smiley,e4c69b396c666683,0.0513,Beanie,bc34c3c3983cc3d3,0.0413,Sneeze,ec6c93926c6c9393,0.0239,3183444.4913200275,0.005,OEM,1515,"**#286 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444959795790479361
258,C:\Users\twintersx\Documents\layer.bot\finals\#258.PNG,#258,1186784,CBCE9BB5,86b6c39d9932c666,Glow,8080bf2ec2fb95cb,0.0136,Tee,bfc02f34c22df20b,0.0234,Big Grin,e4939b4c6c3231cf,0.006,Painted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,49572.5588033115,0.005,OEM,1515,"**#258 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444961994813734913
191,C:\Users\twintersx\Documents\layer.bot\finals\#191.PNG,#191,1846132,E2A91844,b4c61bc03dc63db4,Curlies,95c52ac6298f6f0b,0.0127,Tin,bdc23fe4c22dd248,0.218,Bummed,e4c69b396c2632ce,0.006,Tin,b03030c6cfcfcbc9,0.1923,Large,ea6a95916a6e9591,0.0327,57439.777446558655,0.005,OEM,1515,"**#191 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444964193836990465
768,C:\Users\twintersx\Documents\layer.bot\finals\#768.PNG,#768,654470,AD5C77C8,b09a8dc769d23972,Solid,8800220088002200,0.0817,Tee,bdc22db2c92d32c3,0.0407,Say Aaah,e4929b6d67303167,0.0063,Painted,b232c1c1c93ececd,0.0134,Average,ed6c92926d6c9293,0.5773,129.26877822906943,0.005,OEM,1515,"**#768 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444966392860246017
1523,C:\Users\twintersx\Documents\layer.bot\finals\#1523.PNG,#1523,1367373,95732746,c0fb933d916ec039,Glow,809124cb66b96f9f,0.0102,Tee,bfc02f30c22db2cb,0.0148,Smiley,e4ce9b3119c6649b,0.0092,Tin,b03030c6cfcfcbc9,0.1923,Widget,ea5b956564b34a4a,0.0034,1101265627.2491038,0.01,Luxury,147,"**#1523 is seen as LUXURY in TinMania.**
There exists only 147 LUXURY Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444968591883501569
1349,C:\Users\twintersx\Documents\layer.bot\finals\#1349.PNG,#1349,1089620,D010323,e4ca3fb170c64d61,Stripz,8a8b50eb5a579e61,0.0111,Shirt,afd02fb4c22dd249,0.0109,Cancer Stick,a4e1db1fc3cc3461,0.0026,Blank,8000000000000000,1,Widget,ed6d9292366c9989,0.0037,2233823.2107634535,0.005,OEM,1515,"**#1349 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
100% of TinMania! proceeds from the 'Cancer Stick' trait are donated to the [GO2 Foundation](https://go2foundation.org/get-involved/donate-cryptocurrency/) for Lung Cancer.",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444970790906757121
477,C:\Users\twintersx\Documents\layer.bot\finals\#477.PNG,#477,1044053,9103E7A4,9c6463839634cf6d,Solid,8800220088002200,0.0817,Tin,bdc23fe4c22dd248,0.218,Soop,e4869b39653066cf,0.0053,Tin,b03030c6cfcfcbc9,0.1923,Sneeze,cab4954b6ab4995a,0.0095,2510.9647553454047,0.005,OEM,1515,"**#477 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444972989930012673
1512,C:\Users\twintersx\Documents\layer.bot\finals\#1512.PNG,#1512,1535578,49A6C724,e492cf986d926d94,Curlies,94d468e6a398b9b9,0.0084,Tee,bfd02d30c93d34d2,0.0106,Big Grin,e4ce9b3199c6648e,0.003,Painted,b632c1c1c93ececc,0.1098,Shades,e3669c9863679c98,0.0127,2684649125.1864643,0.01,Luxury,147,"**#1512 is seen as LUXURY in TinMania.**
There exists only 147 LUXURY Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444975188953268225
