NFT No,File Path,Name,Size (KB),CRC Value,NFT ID,Containment Field,Containment Field ID,Containment Field %,Heart Humidor,Heart Humidor ID,Heart Humidor %,Brain Bucket,Brain Bucket ID,Brain Bucket %,Exhaust Spout,Exhaust Spout ID,Exhaust Spout %,Aroma Nozzle,Aroma Nozzle ID,Aroma Nozzle %,Rarity Score,Listing Price,Rarity Type,Rarity Counts,Description,Listed on OpenSea?,Contract Address,token_id
1,C:\Users\Tynan\Documents\layer.bot\nfts\#1,#1,1328031,35A3455A,b3c39fc06fc06c32,Flower Fun,8dd791e1b7701ce0,0.0111,Shirt,b7c83dc249b22fd0,0.0217,Say Aaah,e4969b6966346167,0.0057,Painted,b03030c6cfcfcb99,0.045,Average,ed6c92926d6c9293,0.5773,3467.8711276667273,0.005,OEM,5844,"Chopzy#1 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
2,C:\Users\Tynan\Documents\layer.bot\nfts\#2,#2,1498218,3E879087,b5c81bc40dc73df0,Glow,95957a5e6a782938,0.0112,Tin,bdc23fe4c22dd248,0.218,Bummed,e4c69b396c2626cd,0.0297,Lids,e9698e9696963349,0.0163,Average,ed6c92926d6c9293,0.5773,43524.75366323026,0.005,OEM,5844,"Chopzy#2 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
3,C:\Users\Tynan\Documents\layer.bot\nfts\#3,#3,1477549,C9F39091,a5cc9b9039e26de2,Flower Fun,8dd791e1b7701ce0,0.0111,Tin,bdc23fe4c22dd248,0.218,Bummed,e4c79b38653620cf,0.0063,Striped,b632c1c9c91ececc,0.0248,Widget,e9699296266c9b99,0.0183,910579.2658012492,0.005,OEM,5844,"Chopzy#3 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
4,C:\Users\Tynan\Documents\layer.bot\nfts\#4,#4,1390363,CFB47F88,a7819f968f8e0933,Flower Fun,8dd791e1b7701ce0,0.0111,Tee,bfc02f30c22db2cb,0.0148,Widget,bcc29f3d061e6037,0.0053,Lids,e131949ececf6990,0.0478,Flames,ed6c92926d6d9292,0.0884,1440572.580257675,0.005,OEM,5844,"Chopzy#4 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
5,C:\Users\Tynan\Documents\layer.bot\nfts\#5,#5,1750081,50FEAD2C,95c41bb13be64c33,Glow,95852b9e6329db64,0.0108,Tin,bdc23fe4c22dd248,0.218,Widget,e48e9b31c7666631,0.0197,Blank,8000000000000000,1,Average,ed6c92926d6c9293,0.5773,735.7295396999365,0.005,OEM,5844,"Chopzy#5 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
6,C:\Users\Tynan\Documents\layer.bot\nfts\#6,#6,1720276,A496AE52,84cf1b716c6ecd30,Glow,94926b4f661c3a73,0.0356,Tee,afc03f2798e22d98,0.019,Vape,b4ce9b31cd306639,0.0077,Tin,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,253.02833649867227,0.005,OEM,5844,"Chopzy#6 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
7,C:\Users\Tynan\Documents\layer.bot\nfts\#7,#7,1607925,105AD98,92c45bcd39662e66,Glow,94926b4f661c3a73,0.0356,Tin,bdc23fe4c22dd248,0.218,Smiley,e4c69b396c666683,0.0513,Painted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,2032.7764036653248,0.005,OEM,5844,"Chopzy#7 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
8,C:\Users\Tynan\Documents\layer.bot\nfts\#8,#8,1411195,429E6A8D,cf4df33c3238c161,Hearts,ac4fd39236632785,0.0108,Tee,bfc02f34c22df20b,0.0234,Widget,bcc09f71e11e6037,0.0087,Beanie,bc34c3c31c3cc3d3,0.0138,Average,ed6c92926d6c9293,0.5773,496683.5118747249,0.005,OEM,5844,"Chopzy#8 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
9,C:\Users\Tynan\Documents\layer.bot\nfts\#9,#9,1185329,7E9616E4,91b4cbcbe1277132,Glow,95812b926139df76,0.0122,Shirt,b7c03dc24db22fd0,0.0233,Tats,e4869b396ce63293,0.0147,Soop,ba3ac1c1c13ececc,0.013,Sneeze,ec6c93926c6c9393,0.0239,11322517.355211213,0.005,OEM,5844,"Chopzy#9 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
10,C:\Users\Tynan\Documents\layer.bot\nfts\#10,#10,1463819,FBC25DB5,b0cc1fcc39e22ce6,Glow,80ff26c936996897,0.0116,Tin,bdc23fe4c22dd248,0.218,Big Grin,e4939b4c6c3231cf,0.006,Painted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,6238.520687110824,0.005,OEM,5844,"Chopzy#10 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
11,C:\Users\Tynan\Documents\layer.bot\nfts\#11,#11,1689339,436ED1D,b6c61bc139c40f67,Curlies,ebaa56199ce64646,0.0127,Tin,bdc23fe4c22dd248,0.218,Say Aaah,e4ce9b3166646633,0.0057,Painted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,5698.176375628785,0.005,OEM,5844,"Chopzy#11 is seen as OEM in TinMania.
There exists only 5844 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
