NFT No,File Path,Name,Size (KB),CRC Value,NFT ID,Containment Field,Containment Field ID,Containment Field %,Heart Humidor,Heart Humidor ID,Heart Humidor %,Brain Bucket,Brain Bucket ID,Brain Bucket %,Exhaust Spout,Exhaust Spout ID,Exhaust Spout %,Aroma Nozzle,Aroma Nozzle ID,Aroma Nozzle %,Widget,Widget ID,Widget %,Rarity Score,Listing Price,Rarity Type,Rarity Counts,Description,Listed on OpenSea?,Contract Address,token_id
1,C:\Users\twintersx\Documents\layer.bot\nfts\#1,#1,1478519,2E6EB455,b6c31bc13cc23cf2,Stripez,8aed88efc017c566,0.1,Rivet,bdc23fc4d22d9249,0.1,Bummed,e4ce9b396c2620cf,0.1,Tin,b03030c6cfcfcbc9,0.3,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,4761.9047619047615,0.005,Luxury,14,"Chopzy#1 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",yes,0x12121212,yupatestfromtowerpc
2,C:\Users\twintersx\Documents\layer.bot\nfts\#2,#2,1551149,FCE36217,cc64e3299b3ec163,Curlies,94c568e69b9bc90b,0.1,Tee,bfc02f34c22df20b,0.1,Big Teeth,e4ce9b316d646493,0.15,Beanie,bc34c3c3983cc3d3,0.1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,9523.809523809523,0.005,Luxury,14,"Chopzy#2 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
3,C:\Users\twintersx\Documents\layer.bot\nfts\#3,#3,1834500,4B4C64E4,91f31e9849ce6d31,Curlies,95d53a24613a6db9,0.1,Tee,bfc02fb0c32df209,0.1,Big Teeth,e4ce9b31616c64d3,0.1,Lids,e131949ececf6990,0.1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,14285.71428571428,0.005,Luxury,14,"Chopzy#3 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
4,C:\Users\twintersx\Documents\layer.bot\nfts\#4,#4,1178172,C6F64D8B,e4ce33993816cd66,Solid,8800220088002200,0.2,Tee,bfc02db4c02df04f,0.15,Bummed,e4ce9b396c2624cd,0.1,Painted,b632c1c1c93ececc,0.3,Average,ed6c92926d6c9293,0.7,Birdbrain,9ee11e1cc11ee11f,0.1,15873.015873015873,0.005,Luxury,14,"Chopzy#4 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
5,C:\Users\twintersx\Documents\layer.bot\nfts\#5,#5,811008,6F1EF867,c1395a3c636d9837,Glow,95946a6a6a286f6d,0.1,Tee,bfc02f30c22db2cb,0.1,Say Aaah,e4929b6d67303167,0.1,Tin,b03030c6cfcfcbc9,0.3,Blue,ed6c92926d6d9292,0.1,Blank,8000000000000000,1,33333.33333333332,0.01,Luxury,14,"Chopzy#5 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
6,C:\Users\twintersx\Documents\layer.bot\nfts\#6,#6,1675433,16B2F7EB,90cc5b4d79663437,Glow,95947a5e6a5a296a,0.15,Naked,bdc23fe4c22dd248,0.3,Happy,e4869b396d662693,0.1,Painted,b232c1c9c93ececc,0.1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,3174.603174603175,0.005,OEM,5,"Chopzy#6 is seen as OEM in TinMania.
There exists only 5 OEM Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
7,C:\Users\twintersx\Documents\layer.bot\nfts\#7,#7,1730826,CC9EDE4B,b3c21ecc39e33c62,Curlies,95c56ac6298b6f0b,0.1,Naked,bdc23fe4c22dd248,0.3,Big Teeth,e4929bcd653431d3,0.1,Painted,b030308bcbcbcfce,0.1,Sneeze,ec6c93926c6c9393,0.15,Blank,8000000000000000,1,22222.222222222223,0.01,Luxury,14,"Chopzy#7 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
8,C:\Users\twintersx\Documents\layer.bot\nfts\#8,#8,1867709,106F06CC,b6871f8d2d8e2c32,Curlies,95c52ac6298f6f0b,0.1,Tee,bfc02db4c02df04f,0.15,Big Teeth,e4c69b3965646693,0.1,Painted,b03030cecfcfcb89,0.1,Average,ed6c92926d6c9293,0.7,Birdbrain,9f1f1f1e1e1e1c10,0.1,95238.09523809522,0.05,Classic,1,"Chopzy#8 is seen as CLASSIC in TinMania.
There exists only 1 CLASSIC Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
9,C:\Users\twintersx\Documents\layer.bot\nfts\#9,#9,1612295,97FAFBCD,b2cc1fc439e23c66,Glow,95945ade6a4a696a,0.1,Tattoo,bdc23fe4c22d9249,0.1,Say Aaah,e4929b6d66303367,0.15,Painted,b632c1c1c93ececc,0.3,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,3174.6031746031745,0.005,OEM,5,"Chopzy#9 is seen as OEM in TinMania.
There exists only 5 OEM Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
10,C:\Users\twintersx\Documents\layer.bot\nfts\#10,#10,1443216,84A9D681,a4c83fd13dc22cb3,Curlies,94d46966a319b9b9,0.1,Painted,add22dd2c23dd249,0.15,Happy,e4c69b396c666683,0.1,Blank,8000000000000000,1,Flower,ee6a91916e6e9191,0.1,Blank,8000000000000000,1,6666.666666666666,0.005,Luxury,14,"Chopzy#10 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
